Feature,Importance
Present_Price,0.8631397582751769
Car_Age,0.05738689716321495
Kms_Driven,0.033266200045318974
Transmission_Manual,0.010484379492236844
Car_Name_land cruiser,0.00773673871099663
Car_Name_fortuner,0.007301641059975895
Car_Name_city,0.0032339049823850306
Fuel_Type_Petrol,0.002810731190022279
Car_Name_innova,0.0028047616414991206
Seller_Type_Individual,0.0027396966475785847
Car_Name_corolla altis,0.00213893386440329
Fuel_Type_Diesel,0.001958399775710864
Car_Name_camry,0.0013829611749986545
Car_Name_creta,0.0007589183306897468
Car_Name_verna,0.0005773560419973472
Owner,0.0004726472553806045
Car_Name_elantra,0.0003741349636165474
Car_Name_ciaz,0.0002923760134143216
Car_Name_jazz,0.00025939314490868386
Car_Name_amaze,0.00014001853954362473
Car_Name_etios cross,0.00013521610151238437
Car_Name_i20,9.356082578904875e-05
Car_Name_eon,7.372860369739299e-05
Car_Name_brio,4.991020905729949e-05
Car_Name_alto k10,4.8620306025881785e-05
Car_Name_etios gd,4.2956385874930106e-05
Car_Name_dzire,4.2193835049606517e-05
Car_Name_wagon r,3.0060396372547083e-05
Car_Name_sx4,2.812336477069456e-05
Car_Name_ritz,2.6961125827117173e-05
Car_Name_swift,2.5450033610357246e-05
Car_Name_grand i10,2.248762736734946e-05
Car_Name_etios g,2.1058850421522954e-05
Car_Name_ertiga,1.536323165586658e-05
Car_Name_etios liva,1.345605043193351e-05
Car_Name_i10,1.191102086032298e-05
Car_Name_Honda CBR 150,1.0014057217881623e-05
Car_Name_xcent,7.745117453192843e-06
Car_Name_alto 800,3.601434020605813e-06
Car_Name_ignis,3.562754796122366e-06
Car_Name_Honda Karizma,3.0681322280511522e-06
Car_Name_Bajaj Dominar 400,2.7278848483765716e-06
Car_Name_Bajaj Avenger 220,2.530761408636634e-06
Car_Name_Yamaha FZ 16,2.3982259497788927e-06
Car_Name_Royal Enfield Classic 500,2.0705470228141545e-06
Car_Name_Royal Enfield Bullet 350,1.4730336817721773e-06
Car_Name_Hero Honda CBZ extreme,1.4652272238139183e-06
Car_Name_Bajaj  ct 100,1.4182043991544056e-06
Car_Name_KTM RC390,1.3230453959737608e-06
Car_Name_KTM RC200,1.3022409123388788e-06
Car_Name_Bajaj Pulsar 150,1.2481281427631193e-06
Car_Name_Royal Enfield Thunder 500,9.858862971669565e-07
Car_Name_Hero Passion X pro,9.058929716342174e-07
Car_Name_Yamaha FZ S V 2.0,9.050435770125103e-07
Car_Name_KTM 390 Duke ,7.721972197868936e-07
Car_Name_baleno,7.052220148422255e-07
Car_Name_TVS Apache RTR 160,6.163867746942752e-07
Car_Name_TVS Apache RTR 180,5.742387172535358e-07
Car_Name_Royal Enfield Thunder 350,5.707754999558011e-07
Car_Name_Hero Honda Passion Pro,5.612731826950353e-07
Car_Name_Bajaj Pulsar 220 F,5.496415778422623e-07
Car_Name_Hero Extreme,5.485435006671318e-07
Car_Name_Yamaha FZ S ,5.229960081881878e-07
Car_Name_Hyosung GT250R,4.211699826456354e-07
Car_Name_Honda CB Shine,4.115462495390507e-07
Car_Name_Bajaj Pulsar NS 200,3.741992556759864e-07
Car_Name_TVS Jupyter,3.359949467467728e-07
Car_Name_Honda CB Unicorn,3.2147841997109974e-07
Car_Name_Hero Splender Plus,3.1034045179823295e-07
Car_Name_Bajaj Avenger 220 dtsi,2.793469733774877e-07
Car_Name_Royal Enfield Classic 350,2.5314007958216693e-07
Car_Name_Yamaha FZ  v 2.0,2.3831255858666824e-07
Car_Name_Bajaj Avenger 150,2.3637369294465364e-07
Car_Name_Bajaj Avenger 150 street,2.170278217347533e-07
Car_Name_omni,2.0074155591594195e-07
Car_Name_Suzuki Access 125,1.7032927746979654e-07
Car_Name_Hero  CBZ Xtreme,1.6541534493984744e-07
Car_Name_Hero  Ignitor Disc,1.456080215515827e-07
Car_Name_Honda Activa 4G,1.3388726812738937e-07
Car_Name_Honda CB Hornet 160R,1.0334576541810921e-07
Car_Name_Activa 3g,8.111123609664255e-08
Car_Name_Honda CB twister,7.987774864617433e-08
Car_Name_Bajaj Discover 125,7.530435569035221e-08
Car_Name_Hero Passion Pro,6.971443819935376e-08
Car_Name_Bajaj Pulsar RS200,6.575232454477786e-08
Car_Name_Mahindra Mojo XT300,5.420436665773622e-08
Car_Name_Hero Hunk,4.059282875827581e-08
Car_Name_Bajaj Avenger Street 220,3.9572969502721466e-08
Car_Name_Hero Glamour,3.428631004379753e-08
Car_Name_Hero Splender iSmart,1.832584917079651e-08
Car_Name_Bajaj Discover 100,1.52682753697681e-08
Car_Name_Bajaj Pulsar 135 LS,1.0905018737163782e-08
Car_Name_TVS Wego,8.821375105772659e-09
Car_Name_Hero Super Splendor,8.090279780264865e-09
Car_Name_TVS Sport ,6.741521703205007e-09
Car_Name_Bajaj Pulsar  NS 200,0.0
Car_Name_Activa 4g,0.0
Car_Name_Honda CB Trigger,0.0
Car_Name_Honda Activa 125,0.0
Car_Name_Honda Dream Yuga ,0.0
Car_Name_Yamaha Fazer ,0.0
Car_Name_UM Renegade Mojave,0.0
Car_Name_corolla,0.0
Car_Name_s cross,0.0
Car_Name_vitara brezza,0.0
